name of the clip,language,music,speech,speech_to_music_ratio
10986-es_cuatro_20210705_132545.wav,SPA,-5.7396198293905325,-14.090047288772436,8.350427459381903
10751-es_cuatro_20210705_012950.wav,SPA,-21.112147421612818,-14.218927132232501,-6.8932202893803165
10205-es_antena3_20210703_120011.wav,SPA,-7.7279421604165215,-6.923322442209557,-0.8046197182069648
10082-es_antena3_20210703_090401.wav,SPA,-7.8930058901124065,-10.280748578298532,2.3877426881861252
10003-es_antena3_20210703_002150.wav,SPA,-18.84747642657951,-16.25975899671429,-2.587717429865222
